videoID,video_channel,nodeTime
YP0qetIFOBM,X22Report,2018-06-16 01:04:58
yA68YId0l8g,Israeli News Live,2018-06-16 22:11:03
amtWcEq1XHQ,The Last American Vagabond,2018-06-20 01:19:44
e8-ZQHB3S2E,RT Arabic,2018-06-20 11:26:02
sVZjVhcoCQE,R&U Videos,2018-06-21 07:36:56
Gu-cPhoxlT0,vanessa beeley,2018-06-21 14:49:07
OSvD9eIFDjg,Vesti News,2018-06-22 16:00:03
qdEC3ZY6J3I,HANDS OFF SYRIA,2018-06-25 11:28:56
2L-r54yEaPw,Hatethemachine,2018-07-01 12:49:58
PGXAGlo2IpA,Tom Duggan,2018-07-02 05:56:47
vPRagJKxED4,RT,2018-07-02 13:34:03
Iy2hMApxruw,الدفاع المدني السوري في محافظة ادلب,2018-07-09 07:11:07
fIeHa6Oz7ow,The Duran,2018-07-09 20:57:51
4lJ3kbZ9_T8,Syria TV تلفزيون سوريا,2018-07-16 20:39:27
6N0EqWnAuLs,الدفاع المدني السوري في محافظة ادلب,2018-07-18 13:40:05
9mGRxWv-15U,RT,2018-07-18 16:16:36
6Wj6BPlcW8c,Israeli News Live,2018-07-22 00:45:01
pV-PIuVgAM0,R&U Videos,2018-07-22 03:36:33
_VbV9qVpDaU,TRT World Now,2018-07-22 06:17:09
Pu0Rb5tkITY,CNN,2018-07-22 09:47:39
EV_A1UEFiZI,afpar,2018-07-22 12:21:27
t_WJg4ox9I4,euronews (in English),2018-07-22 12:42:28
G3YfniBHvrE,Syriana Analysis,2018-07-22 13:08:43
MbJyZcsrCqo,اخبار 24,2018-07-22 14:17:30
GkweND9HDAI,CBC News,2018-07-22 15:29:51
lyBO4KWzy2I,AlHadath الحدث,2018-07-22 15:55:01
ktMQeITotCg,Al Jazeera English,2018-07-22 16:18:42
ZR6DnYay5J8,RT,2018-07-22 16:50:37
d7hyJPUhSs8,BBE,2018-07-22 16:59:31
iCDpgOv2STA,RT Arabic,2018-07-22 17:12:35
LnXBzZo_G3Y,CBC News,2018-07-22 17:21:54
HEwzbB5HSe8,Newsy,2018-07-22 18:04:36
1T4A8alBDpw,Ruptly,2018-07-22 18:32:28
s59ZoFqGISg,Israeli News Live,2018-07-22 18:59:16
zonfzISJCZU,World Jewish Congress,2018-07-22 19:51:30
plJ0V8jqelI,نبراس الارض - NBRAS AL2RD ™❶ ᴴᴰ,2018-07-22 21:27:22
7ohNSikrJfI,Alghad TV - قناة الغد,2018-07-22 21:53:35
daXmHZ8Q0Sc,RT Arabic,2018-07-22 21:59:27
TEbHM0aIako,The Last American Vagabond,2018-07-22 22:12:09
spFT9KqxNEQ,CityNews Toronto,2018-07-22 22:24:43
HtPBRggPRoM,CBS News,2018-07-22 23:05:58
59yCfRVPCGA,CGTN America,2018-07-22 23:41:32
sIZgJ3NzMO0,PressTV,2018-07-23 01:40:05
amhn_XH5BdI,TyrannyUnmasked,2018-07-23 02:39:23
0nxII8s2wLs,CBC News: The National,2018-07-23 04:59:54
fj14wkYSSFU,Al Jazeera English,2018-07-23 06:02:17
BUZxTm6xEi4,RT,2018-07-23 11:07:43
Zh20DTD3t4I,RT UK,2018-07-23 12:03:09
-AhzCC-UWn8,فرانس 24 / FRANCE 24 Arabic,2018-07-23 12:27:04
GwDXCRgHOBs,CBC News: The National,2018-07-23 12:43:06
1E8lsdYL6C0,Daily Mail,2018-07-23 12:53:34
B6t1SbUsFyc,CBC News: The National,2018-07-23 13:08:24
cYMFF93Ev4Y,Alex Rolling,2018-07-23 13:14:34
0nm1GUG90qg,Jason Unruhe,2018-07-23 13:14:47
UHLsAXY3JjI,TIME,2018-07-23 13:35:08
Qopv2eq0mNc,South Front,2018-07-23 13:48:51
QD5JvYSqR3o,AFP news agency,2018-07-23 13:48:59
Ci0PUkIK_74,فرانس 24 / FRANCE 24 Arabic,2018-07-23 14:20:10
v7VrKwKIXk4,i24NEWS English,2018-07-23 14:32:48
HFjhUbaAAMk,CBS News,2018-07-23 15:00:03
9cjmX_i6uso,BBC News عربي,2018-07-23 16:02:49
rz2wo9irW6k,RT,2018-07-23 17:50:45
0mOTdETPB18,Al Mayadeen News,2018-07-23 18:55:08
waDOWhRAQuA,Alghad TV - قناة الغد,2018-07-23 19:59:39
EWFk_1snEh0,Dr Marcus Papadopoulos,2018-07-23 20:34:59
o3xZjrLpHus,TruNews,2018-07-23 23:23:17
X-utYbOgHDg,Shema-ministries Jerusalem,2018-07-24 00:22:40
uUZOKTarjsk,An0maly - News Analysis & Hip-hop,2018-07-24 00:49:43
4jmiNoqH2_Y,CBC News: The National,2018-07-24 03:28:07
GfnVgIqTg68,Israeli News Live,2018-07-24 04:00:25
R5eUlw3pf20,RT Deutsch,2018-07-24 10:37:10
qEGq8xejNYs,TRT World Now,2018-07-24 10:53:56
nVratTvQAt8,Vesti News,2018-07-24 16:14:35
6mXXTITdcVo,أحمد حرقان Ahmed Harkan,2018-07-24 16:55:10
XVkhDpOr_-c,afpar,2018-07-24 17:22:10
pzZPzCH4lK4,فرانس 24 / FRANCE 24 Arabic,2018-07-24 18:15:29
b9Q6A-itXuk,i24NEWS English,2018-07-24 18:58:23
eSHSmJB7FBY,الدفاع المدني السوري في محافظة ادلب,2018-07-24 19:55:14
w7Ugi6gS1mg,Press For Truth,2018-07-24 20:54:46
finnh7EUqj8,FRANCE 24 English,2018-07-25 09:35:44
rnpfOkf3YqM,TRT World,2018-07-25 12:48:06
AbuaK_h1Mv8,James Pawson,2018-07-25 21:19:11
UBOnqMaLi7s,اخبار الاردن عوني حدادين Jordan news Ouni Haddadin,2018-07-25 21:25:08
W5DWPs6AY6U,The Duran,2018-07-26 06:50:42
Xc2SyTIm8oM,RT,2018-07-26 09:41:35
afmhFNzAtJ8,Al Mayadeen News,2018-07-26 10:44:20
jogZLYO9FhA,RT UK,2018-07-26 10:51:00
9YFVxWgJKQQ,corbettreport,2018-07-26 14:18:58
sPwkFRwG3vc,PressTV,2018-07-26 22:55:13
kSj88uX5meM,TeN TV,2018-07-27 10:29:10
VC0Wc3b_cUw,The Newsmakers,2018-07-27 11:06:51
38HO20pgEMM,One America News Network,2018-07-27 15:01:40
JCtGqd3HgZQ,Marco Glowatzki,2018-07-27 16:50:31
ylYs67g0l08,syria alikhbaria,2018-07-27 19:04:12
yFuJlqKIITw,X22Report,2018-07-27 20:14:22
O5iABf3Yjbo,Christoph Hörstel,2018-07-27 21:25:49
K8c1upfzZXU,The Last American Vagabond,2018-07-28 00:14:51
sb2f17BcPVY,Al Mayadeen Programs,2018-07-28 06:42:22
Ng7-4tGPmKg,Ruptly,2018-07-28 13:35:02
RM4U0NbmmDk,afpar,2018-07-28 14:37:10
c-13_Hjodq4,Eva K Bartlett,2018-07-29 00:19:02
iS7H4CyvWAY,Enab Baladi,2018-07-29 11:15:23
1dwOWfRnsRg,Eva K Bartlett,2018-07-29 15:47:33
xTjLDQqUFAE,THE INDICTER Channel,2018-07-29 18:45:31
_gfDbrjvA-E,تلفزيون أورينت Orient TV,2018-07-29 19:11:21
ZUS-7W4Gsbs,Billy Joyce,2018-07-30 00:32:37
zsEEzbkkH00,vanessa beeley,2018-07-30 11:19:47
T8M0Uq7kheI,PressTV,2018-07-30 17:33:31
dpuny2eynIM,TruNews,2018-07-30 20:13:45
2Jb_lpdNRU8,Syria TV تلفزيون سوريا,2018-07-31 17:31:33
qtHY1ZoUdWU,The Mind Renewed,2018-08-01 14:11:52
i-zojkbnHfw,SAA Soldier,2018-08-03 11:00:54
usv6FRE1bdg,goingundergroundRT,2018-08-04 11:16:28
EZ3qKG9gnuI,RT,2018-08-04 11:58:24
hr4djTD5LLY,goingundergroundRT,2018-08-04 12:38:32
SNUecbxGLno,goingundergroundRT,2018-08-04 14:04:04
MIn6GjsHlIE,الدفاع المدني السوري في محافظة ادلب,2018-08-08 08:47:17
PddH3mm0LWo,vanessa beeley,2018-08-09 13:24:22
RsXAdJw2oaU,R&U Videos,2018-08-09 17:49:06
Xq2fwjST6co,Israeli News Live,2018-08-12 03:36:02
Ey-Na7wNCNI,vanessa beeley,2018-08-12 07:29:28
oY4e1wyu7rw,الدفاع المدني السوري في محافظة ادلب,2018-08-12 13:57:23
Ml5YUG-Tkh8,الدفاع المدني السوري في محافظة ادلب,2018-08-12 14:27:47
OECM5M-NdD4,Baladi-News Network,2018-08-12 17:14:00
rH9vE0NUJtA,Jason Jones,2018-08-13 02:37:24
5z5BnQYEO10,vanessa beeley,2018-08-13 11:48:45
VqqHH71SHdo,CCN Cross Canada News,2018-08-14 13:36:56
X07-c6KDixs,Baladi-News Network,2018-08-16 11:32:07
d7SSARCvVIc,Jamarl Thomas,2018-08-16 20:38:30
WDAjeDATbfA,PBS NewsHour,2018-08-17 00:38:17
gmXsGO5qcA4,Jason Jones,2018-08-18 03:35:02
8Z9JIRk7vZE,Esoteric The Free,2018-08-18 04:12:26
JtMNpnVuExM,vanessa beeley,2018-08-18 07:23:26
IQPs2mOhlB4,الدفاع المدني السوري في محافظة ادلب,2018-08-18 19:34:54
nggTziXMsHM,Jason Jones,2018-08-22 02:46:31
aCNiog385Z0,Israeli News Live,2018-08-23 03:45:51
IcHJJQ-NyKs,Al Mayadeen News,2018-08-23 13:16:19
-q-6HxUDlT8,Jason Jones,2018-08-25 03:53:59
LuOIwpuEIWc,PressTV Documentaries,2018-08-25 07:21:42
5P-70osfQEk,Al Aan TV تلفزيون الآن,2018-08-26 10:28:51
IVJGvd59Stc,RT,2018-08-26 18:37:50
o6vCzaErVZc,تلفزيون أورينت Orient TV,2018-08-26 18:58:51
dyxJZz9t7vo,Vesti News,2018-08-27 08:45:52
qu81C4J5Wmc,RT,2018-08-27 09:30:13
WF96GgYHy9U,TRT World,2018-08-27 21:56:39
nST5TiCd5oc,RT UK,2018-08-29 09:47:09
1gtUh_XDAjw,الدفاع المدني السوري في محافظة ادلب,2018-08-29 17:48:44
Hc5RuD0KBWk,Ruptly,2018-08-30 12:30:17
YTKcJDQpEpQ,Nizar Abboud,2018-08-30 16:05:52
7edMjIwLg14,RT,2018-08-30 16:28:59
B892eheOepc,Ross Madden,2018-08-31 00:10:05
LQ6wjoVAwHQ,Israeli News Live,2018-08-31 02:10:48
5zF6mrK9KJU,الدفاع المدني السوري في محافظة ادلب,2018-09-03 07:46:41
wzqepx4eT94,الدفاع المدني السوري في محافظة ادلب,2018-09-03 11:22:30
XRKawaGWlDw,David Icke,2018-09-03 11:48:41
jZEC6xfBcPM,RT,2018-09-07 20:02:48
9gXHcOIhB7s,Global Defense & Security,2018-09-08 13:47:24
BbxB9TdtxBY,RT,2018-09-08 17:15:03
_h_e19jkeFE,PressTV,2018-09-08 22:10:57
bpiOB5ZCcAA,الدفاع المدني السوري في محافظة ادلب,2018-09-09 07:41:45
