nodeID,nodeUserID,nodeTime,actionType,videoID,platform
7811349|2038101499776692,7811349,2018-04-16 09:04:53,post,ijXYoBTHues,facebook
1906451|1944624909184080,1906451,2018-04-16 09:05:17,post,ijXYoBTHues,facebook
1967480|1664599070292503,1967480,2018-04-16 09:05:43,post,ijXYoBTHues,facebook
10969913|2094287627469791,10969913,2018-04-16 09:33:32,post,3vNwe7yKbwo,facebook
3534516|2028929394041678,3534516,2018-04-16 10:01:53,post,sBmWe5FnSCc,facebook
10122981|883773498499245,10122981,2018-04-16 12:51:05,post,tvVaG10AEI0,facebook
8997242|1629532810501602,8997242,2018-04-16 14:00:34,post,tvVaG10AEI0,facebook
10122981|883812781828650,10122981,2018-04-16 14:40:04,post,tvVaG10AEI0,facebook
7602553|1951966211509777,7602553,2018-04-16 14:41:09,post,3vNwe7yKbwo,facebook
10255660|2059327921010179,10255660,2018-04-16 16:32:55,post,sBmWe5FnSCc,facebook
8997242|1629715237150026,8997242,2018-04-16 17:51:03,post,3vNwe7yKbwo,facebook
6601801|2188996074719900,6601801,2018-04-16 18:50:45,post,NQL3rX6xWRg,facebook
4961689|1670135336405482,4961689,2018-04-16 19:56:13,post,3wj4ncIEDxw,facebook
50|1819148898149850,50,2018-04-16 21:08:06,post,tvVaG10AEI0,facebook
8776739|873061516232161,8776739,2018-04-16 23:37:31,post,3vNwe7yKbwo,facebook
3141968|995824627231562,3141968,2018-04-17 01:06:01,post,lC7ZxdFzdzQ,facebook
8526179|1333046300173275,8526179,2018-04-17 03:07:02,post,3vNwe7yKbwo,facebook
10811599|941216409371574,10811599,2018-04-17 05:24:27,post,tvVaG10AEI0,facebook
9172330|2323502577667334,9172330,2018-04-17 08:33:08,post,tvVaG10AEI0,facebook
10972233|2125859541031388,10972233,2018-04-17 08:33:19,post,tvVaG10AEI0,facebook
10152348|2095092047447071,10152348,2018-04-17 08:33:44,post,tvVaG10AEI0,facebook
10129900|1679940502098393,10129900,2018-04-17 09:55:46,post,NQL3rX6xWRg,facebook
10193683|1755731491162709,10193683,2018-04-17 12:58:07,post,Es7oBV6b43Y,facebook
2292681|1945313045486999,2292681,2018-04-17 14:40:03,post,wV75b-j2vIQ,facebook
7846115|914728798705640,7846115,2018-04-17 18:17:25,post,NupaxXozSCE,facebook
4662063|786215648237446,4662063,2018-04-17 18:17:37,post,NupaxXozSCE,facebook
8525871|2074025922610782,8525871,2018-04-17 18:18:37,post,NupaxXozSCE,facebook
8994686|393149267820614,8994686,2018-04-17 18:18:54,post,NupaxXozSCE,facebook
8994469|773283382857515,8994469,2018-04-17 18:19:07,post,NupaxXozSCE,facebook
8520105|917134118466730,8520105,2018-04-17 18:21:06,post,NupaxXozSCE,facebook
8996889|1813948478671243,8996889,2018-04-17 18:21:21,post,NupaxXozSCE,facebook
7842680|834876483364452,7842680,2018-04-17 18:22:46,post,NupaxXozSCE,facebook
15826401|1660966547320271,15826401,2018-04-17 18:23:16,post,NupaxXozSCE,facebook
7656559|1666815173371639,7656559,2018-04-17 18:23:43,post,NupaxXozSCE,facebook
2292687|1681601638594482,2292687,2018-04-17 22:46:14,post,JcUwPJFxRDQ,facebook
12391175|1373402676138308,12391175,2018-04-17 22:46:40,post,JcUwPJFxRDQ,facebook
4961689|1671322752953407,4961689,2018-04-18 03:16:19,post,2kX5IFgBWFM,facebook
8525793|453064871815256,8525793,2018-04-18 08:09:45,post,NQL3rX6xWRg,facebook
8523286|1880755135333052,8523286,2018-04-18 09:20:50,post,NQL3rX6xWRg,facebook
2292687|1682013748553271,2292687,2018-04-18 10:08:52,post,LjTw4UEzySw,facebook
9000686|1807468102888219,9000686,2018-04-18 11:09:37,post,3vNwe7yKbwo,facebook
8997695|164734227477802,8997695,2018-04-18 14:24:58,post,7R2QhK0-Pe8,facebook
13268703|731911533683801,13268703,2018-04-18 21:27:27,post,lKiiKtEcx9Q,facebook
2292687|1682659985155314,2292687,2018-04-19 01:28:35,post,9hRy7BPWooo,facebook
12391175|1374098939402015,12391175,2018-04-19 01:29:10,post,9hRy7BPWooo,facebook
9030311|1248401268637252,9030311,2018-04-19 02:17:17,post,ZWxQHPwoNMk,facebook
9032377|992735460879391,9032377,2018-04-19 02:17:24,post,ZWxQHPwoNMk,facebook
8994910|1924056141000181,8994910,2018-04-19 02:33:44,post,3vNwe7yKbwo,facebook
10814240|786141711583843,10814240,2018-04-19 02:55:58,post,lKiiKtEcx9Q,facebook
16548407|1821040977916389,16548407,2018-04-19 08:15:14,post,3tIupmpY7IA,facebook
12749312|1701471569935023,12749312,2018-04-19 08:15:48,post,tvVaG10AEI0,facebook
12749312|1701486349933545,12749312,2018-04-19 08:44:15,post,3vNwe7yKbwo,facebook
1977501|1843560462350172,1977501,2018-04-19 09:20:32,post,RqNoDQn9LXY,facebook
2387759|2087483794798789,2387759,2018-04-19 09:20:58,post,RqNoDQn9LXY,facebook
9037151|2012659435419179,9037151,2018-04-19 10:05:28,post,Oau4Nkg2yzc,facebook
6977212|1872802359451855,6977212,2018-04-19 13:00:01,post,b8bIupYSZeU,facebook
8997242|1632648553523361,8997242,2018-04-19 15:16:41,post,0ZzE6JLChEQ,facebook
7650248|10155173927716459,7650248,2018-04-19 15:19:26,post,WPGG3P14WWk,facebook
15161525|1692834580806528,15161525,2018-04-19 19:02:40,post,WPGG3P14WWk,facebook
10129248|991775834318384,10129248,2018-04-19 19:06:16,post,WPGG3P14WWk,facebook
12923526|996095697233722,12923526,2018-04-19 19:48:43,post,3vNwe7yKbwo,facebook
1912224|2259797824034273,1912224,2018-04-19 21:05:22,post,0ZzE6JLChEQ,facebook
7427189|2081384225440424,7427189,2018-04-19 21:45:13,post,5jCHvtVpdfQ,facebook
14930099|2042156566058758,14930099,2018-04-19 23:00:37,post,WPGG3P14WWk,facebook
12090654|1832214500168137,12090654,2018-04-20 07:10:05,post,AcbIwXDtSYw,facebook
8997990|2169430383291498,8997990,2018-04-20 10:14:10,post,0ZzE6JLChEQ,facebook
9743809|2394219507470359,9743809,2018-04-20 10:30:00,post,3wj4ncIEDxw,facebook
12852499|1638040362898044,12852499,2018-04-20 12:46:22,post,WPGG3P14WWk,facebook
10796541|1616007558495119,10796541,2018-04-20 15:37:57,post,WPGG3P14WWk,facebook
14198136|1873853945998483,14198136,2018-04-20 15:55:22,post,yaZRZo9FGQI,facebook
8421575|2058855194383202,8421575,2018-04-20 16:33:30,post,yaZRZo9FGQI,facebook
16072822|2102895533313321,16072822,2018-04-20 16:46:29,post,yaZRZo9FGQI,facebook
14317622|1963254280656657,14317622,2018-04-20 18:01:11,post,yaZRZo9FGQI,facebook
7645461|196839807790170,7645461,2018-04-20 20:07:02,post,yaZRZo9FGQI,facebook
10260291|1623120847765751,10260291,2018-04-20 20:11:33,post,Jq4LEIO740A,facebook
12534737|1649046735148897,12534737,2018-04-20 23:22:54,post,yaZRZo9FGQI,facebook
1798686|2004469113146882,1798686,2018-04-21 03:14:15,post,0ZzE6JLChEQ,facebook
1404489|1236717319764895,1404489,2018-04-21 05:35:53,post,yaZRZo9FGQI,facebook
8998185|241879209691054,8998185,2018-04-21 07:30:06,post,WPGG3P14WWk,facebook
3436078|1818377524880013,3436078,2018-04-21 09:30:53,post,yaZRZo9FGQI,facebook
8936728|842586025946737,8936728,2018-04-21 16:41:38,post,9rOL7fYyRQo,facebook
12922995|1680146025415701,12922995,2018-04-21 17:27:52,post,3vNwe7yKbwo,facebook
12922995|1680146025415701,12922995,2018-04-21 17:27:52,post,9rOL7fYyRQo,facebook
12922995|1680146025415701,12922995,2018-04-21 17:27:52,post,OBkn78q_t_Q,facebook
12922995|1680146025415701,12922995,2018-04-21 17:27:52,post,vpfz7srLYzs,facebook
12922995|1680146025415701,12922995,2018-04-21 17:27:52,post,Jq4LEIO740A,facebook
12922995|1680146025415701,12922995,2018-04-21 17:27:52,post,sBmWe5FnSCc,facebook
8511437|1656365487792351,8511437,2018-04-21 19:03:15,post,pEL4pZFE0Ig,facebook
8511437|1656365487792351,8511437,2018-04-21 19:03:15,post,9rOL7fYyRQo,facebook
8511437|1656389774456589,8511437,2018-04-21 19:34:53,post,EG6gb31VJHA,facebook
5957297|1028041447352217,5957297,2018-04-21 22:46:46,post,0ZzE6JLChEQ,facebook
12399648|374047356434148,12399648,2018-04-22 03:00:00,post,yaZRZo9FGQI,facebook
3286190|2125913744293589,3286190,2018-04-22 03:04:46,post,yaZRZo9FGQI,facebook
8997242|1635382319916651,8997242,2018-04-22 05:38:36,post,DCu8mNC1JyE,facebook
8509289|1833387590026727,8509289,2018-04-22 05:39:11,post,lKiiKtEcx9Q,facebook
8550581|236448423570976,8550581,2018-04-22 05:40:59,post,lKiiKtEcx9Q,facebook
7865751|1310969082337512,7865751,2018-04-22 05:43:04,post,lKiiKtEcx9Q,facebook
8509470|1716900378377128,8509470,2018-04-22 05:43:41,post,lKiiKtEcx9Q,facebook
2919261|2044564165795810,2919261,2018-04-22 05:44:05,post,lKiiKtEcx9Q,facebook
8993813|961371220705975,8993813,2018-04-22 05:44:22,post,lKiiKtEcx9Q,facebook
7504637|1658293357600416,7504637,2018-04-22 05:44:44,post,lKiiKtEcx9Q,facebook
8509243|2053545264912285,8509243,2018-04-22 05:45:03,post,lKiiKtEcx9Q,facebook
8550326|595042727539316,8550326,2018-04-22 05:47:23,post,lKiiKtEcx9Q,facebook
7842301|641729162832809,7842301,2018-04-22 05:48:14,post,lKiiKtEcx9Q,facebook
8496883|1949655058679440,8496883,2018-04-22 05:51:24,post,lKiiKtEcx9Q,facebook
8496883|1949655722012707,8496883,2018-04-22 05:54:18,post,lKiiKtEcx9Q,facebook
8550864|2097511263853624,8550864,2018-04-22 05:55:59,post,DCu8mNC1JyE,facebook
8624433|2038503003039887,8624433,2018-04-22 05:58:39,post,lKiiKtEcx9Q,facebook
8509290|591044154604251,8509290,2018-04-22 05:58:57,post,lKiiKtEcx9Q,facebook
